Test Time: 2026-03-13 13:02:42 ~ 2026-03-13 13:03:20 (Duration: 38.9s)
refRPM,RPM,refCCR,State
4000.0,0.0,191.0,TRAN
4000.0,0.0,410.0,TRAN
4000.0,13.3,810.0,TRAN
4000.0,83.2,934.0,TRAN
4000.0,173.8,1147.0,TRAN
4000.0,224.8,1313.0,TRAN
4000.0,330.1,1402.0,TRAN
4000.0,383.2,1517.0,TRAN
4000.0,493.4,1594.0,TRAN
4000.0,716.8,1936.0,TRAN
4000.0,828.0,2048.0,TRAN
4000.0,940.3,2123.0,TRAN
4000.0,1054.8,2349.0,TRAN
4000.0,1170.5,2465.0,TRAN
4000.0,1286.1,2535.0,TRAN
4000.0,1343.2,2684.0,TRAN
4000.0,1459.5,2831.0,TRAN
4000.0,1577.6,2899.0,TRAN
4000.0,1636.3,3044.0,TRAN
4000.0,1696.9,3117.0,TRAN
4000.0,1815.7,3224.0,TRAN
4000.0,1933.7,3371.0,TRAN
4000.0,2111.7,3598.0,TRAN
4000.0,2171.9,3648.0,TRAN
4000.0,2292.0,3726.0,TRAN
4000.0,2350.5,3802.0,TRAN
4000.0,2411.3,3945.0,TRAN
4000.0,2470.7,4028.0,TRAN
4000.0,2592.5,4104.0,TRAN
4000.0,2653.2,4175.0,TRAN
4000.0,2714.5,4324.0,TRAN
4000.0,2837.3,4397.0,TRAN
4000.0,2897.9,4437.0,TRAN
4000.0,3019.2,4648.0,TRAN
4000.0,3079.8,4717.0,TRAN
4000.0,3248.0,4520.0,TRAN
4000.0,3288.3,4300.0,TRAN
4000.0,3321.4,4228.0,TRAN
4000.0,3368.7,4180.0,TRAN
4000.0,3386.5,4118.0,TRAN
4000.0,3413.2,4105.0,TRAN
4000.0,3424.7,4088.0,TRAN
4000.0,3443.2,4091.0,TRAN
4000.0,3451.1,4088.0,TRAN
4000.0,3465.4,4093.0,TRAN
4000.0,3471.7,4098.0,TRAN
4000.0,3479.7,4104.0,TRAN
4000.0,3491.8,4110.0,TRAN
4000.0,3497.5,4118.0,TRAN
4000.0,3503.7,4122.0,TRAN
4000.0,3548.7,4164.0,TRAN
4000.0,3604.8,4219.0,TRAN
4000.0,3623.8,4232.0,STDY
4000.0,3662.6,4269.0,STDY
4000.0,3670.8,4280.0,STDY
4000.0,3679.0,4282.0,STDY
4000.0,3700.3,4311.0,STDY
4000.0,3703.7,4312.0,STDY
4000.0,3711.2,4314.0,STDY
4000.0,3714.3,4321.0,STDY
4000.0,3721.7,4326.0,STDY
4000.0,3724.6,4330.0,STDY
4000.0,3730.8,4335.0,STDY
4000.0,3735.2,4342.0,STDY
4000.0,3740.7,4341.0,STDY
4000.0,3744.3,4349.0,STDY
4000.0,3749.9,4354.0,STDY
4000.0,3755.9,4353.0,STDY
4000.0,3760.3,4362.0,STDY
4000.0,3765.7,4361.0,STDY
4000.0,3768.0,4371.0,STDY
4000.0,3773.6,4370.0,STDY
4000.0,3776.7,4374.0,STDY
4000.0,3781.2,4377.0,STDY
4000.0,3784.4,4384.0,STDY
4000.0,3790.0,4385.0,STDY
4000.0,3792.0,4387.0,STDY
4000.0,3794.5,4388.0,STDY
4000.0,3796.5,4396.0,STDY
4000.0,3799.4,4395.0,STDY
4000.0,3804.7,4398.0,STDY
4000.0,3806.4,4403.0,STDY
4000.0,3807.9,4405.0,STDY
4000.0,3812.4,4406.0,STDY
4000.0,3815.9,4413.0,STDY
4000.0,3819.6,4411.0,STDY
4000.0,3821.4,4416.0,STDY
4000.0,3823.7,4420.0,STDY
4000.0,3828.1,4425.0,STDY
4000.0,3829.4,4427.0,STDY
4000.0,3831.1,4428.0,STDY
4000.0,3834.1,4431.0,STDY
4000.0,3837.7,4430.0,STDY
4000.0,3840.6,4432.0,STDY
4000.0,3841.5,4435.0,STDY
4000.0,3843.4,4441.0,STDY
4000.0,3844.9,4439.0,STDY
4000.0,3849.0,4439.0,STDY
4000.0,3851.3,4445.0,STDY
4000.0,3852.6,4445.0,STDY
4000.0,3854.8,4445.0,STDY
4000.0,3857.2,4451.0,STDY
4000.0,3859.8,4454.0,STDY
4000.0,3862.0,4455.0,STDY
4000.0,3864.3,4459.0,STDY
4000.0,3865.5,4461.0,STDY
4000.0,3869.2,4463.0,STDY
4000.0,3870.7,4465.0,STDY
4000.0,3873.4,4468.0,STDY
4000.0,3874.3,4466.0,STDY
4000.0,3876.9,4471.0,STDY
4000.0,3878.6,4470.0,STDY
4000.0,3880.3,4474.0,STDY
4000.0,3882.9,4474.0,STDY
4000.0,3884.2,4477.0,STDY
4000.0,3886.1,4474.0,STDY
4000.0,3888.3,4482.0,STDY
4000.0,3890.1,4481.0,STDY
4000.0,3893.6,4482.0,STDY
4000.0,3894.3,4486.0,STDY
4000.0,3895.0,4487.0,STDY
4000.0,3897.1,4489.0,STDY
4000.0,3898.6,4489.0,STDY
4000.0,3900.1,4492.0,STDY
